eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
0,0.999,0.2,1,True,True,False,10000,0.9,3000.0,20,10,2,20,0.6,0.5,0.05,0.1,0.3,MIXED,RESET,287.3,326.59999999999997,551.4666666666666,282.8666666666667,323.13333333333327,468.5333333333333,482.0,572.0,978.6666666666666,563.6666666666666,789.3333333333334,1643.3333333333333,265.6666666666667,299.3333333333333,504.0,251.66666666666666,271.3333333333333,338.0,5.568718512852986,11.919790744781494,22.51329191525777,13.477592547734579,27.715783993403118,46.5968492825826
0,0.999,0.2,1,True,True,False,10000,0.9,3000.0,20,10,2,20,0.6,0.5,0.1,0.1,0.3,MIXED,RESET,294.4,339.1666666666667,576.5,283.90000000000003,346.3333333333333,464.1666666666667,496.0,589.6666666666666,1040.0,610.0,1081.3333333333333,1593.6666666666667,272.0,311.3333333333333,525.0,247.66666666666666,264.6666666666667,338.6666666666667,4.404484510421753,12.84592088063558,17.812821706136067,15.487001657485962,28.0418803691864,42.74429941177368
0,0.999,0.2,1,True,False,True,10000,0.9,3000.0,20,10,2,20,0.6,0.05,0.05,0.1,0.3,MIXED,RESET,290.8333333333333,341.1666666666667,718.0333333333333,282.1333333333334,336.4,525.8333333333333,487.3333333333333,591.6666666666666,1258.3333333333333,562.3333333333334,979.0,1760.3333333333333,269.0,313.3333333333333,658.0,251.0,265.0,388.6666666666667,5.380191644032796,14.043550332387289,34.122381130854286,15.36198385556539,34.40633535385132,81.45643297831218
0,0.999,0.2,1,True,False,True,10000,0.9,3000.0,20,10,2,20,0.6,0.05,0.1,0.1,0.3,MIXED,RESET,286.2,347.4666666666667,737.2333333333332,283.2333333333333,336.6666666666667,530.3,462.0,612.6666666666666,1318.3333333333333,573.3333333333334,1008.6666666666666,1802.0,266.6666666666667,318.0,672.6666666666666,251.0,262.0,389.0,7.465924978256226,13.218861977259317,33.15672516822815,10.276447931925455,33.61309480667114,71.62740468978882
0,0.999,0.2,1,True,False,True,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,RESET,291.3,346.5,633.1,276.09999999999997,338.56666666666666,557.6666666666666,480.0,606.0,1120.0,544.0,1015.6666666666666,1910.6666666666667,270.3333333333333,317.6666666666667,579.0,246.33333333333334,263.3333333333333,407.3333333333333,5.211796124776204,16.337422450383503,31.465404987335205,14.31739322344462,37.79476340611776,68.75948238372803
0,0.999,0.2,1,True,False,True,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.1,0.1,0.3,MIXED,RESET,286.40000000000003,336.0,680.3000000000001,281.43333333333334,335.73333333333335,472.8999999999999,464.0,597.0,1211.0,555.3333333333334,1011.3333333333334,1597.0,266.6666666666667,307.0,621.3333333333334,251.0,260.6666666666667,348.0,5.706811507542928,12.282375494639078,27.805259863535564,16.742716153462727,30.22506332397461,76.16880504290263
0,0.999,0.2,1,True,False,True,10000,0.9,3000.0,20,10,2,20,0.6,0.5,0.05,0.1,0.3,MIXED,RESET,285.3333333333333,327.8333333333333,614.3,281.2333333333333,341.3333333333333,514.9,474.3333333333333,572.3333333333334,1100.0,553.3333333333334,1073.3333333333333,1750.0,264.3333333333333,300.6666666666667,560.3333333333334,251.0,260.0,377.6666666666667,6.788036982218425,16.265726963678997,31.585840384165447,13.390793402989706,23.23111319541931,70.24331601460774
0,0.999,0.2,1,True,False,True,10000,0.9,3000.0,20,10,2,20,0.6,0.5,0.1,0.1,0.3,MIXED,RESET,284.7,333.8333333333333,777.5666666666667,276.3,334.3999999999999,518.6999999999999,474.0,593.3333333333334,1391.6666666666667,546.0,992.0,1734.0,263.6666666666667,305.0,709.3333333333334,246.33333333333334,261.3333333333333,383.6666666666667,5.098569949467977,15.967924276987711,28.13273612658183,16.79204257329305,32.551959117253624,68.67976872126262
0,0.999,0.2,1,True,False,False,10000,0.9,3000.0,20,10,2,20,0.6,0.05,0.05,0.1,0.3,MIXED,RESET,286.96666666666664,343.8999999999999,669.5,284.8,347.2,495.29999999999995,481.6666666666667,604.0,1208.0,529.0,1090.0,1704.0,265.3333333333333,315.0,609.6666666666666,257.6666666666667,264.6666666666667,361.0,5.0876985390981035,13.153783480326334,28.503347794214886,16.202255249023438,32.093648195266724,60.93937826156616
0,0.999,0.2,1,True,False,False,10000,0.9,3000.0,20,10,2,20,0.6,0.05,0.1,0.1,0.3,MIXED,RESET,290.59999999999997,341.0,682.9,285.3666666666666,343.09999999999997,552.1,518.0,596.0,1210.0,594.6666666666666,1064.0,1882.0,265.3333333333333,312.6666666666667,624.3333333333334,251.0,263.0,404.3333333333333,4.738115628560384,12.192063252131144,22.66009004910787,17.62444082895915,32.466310024261475,64.4480853875478
